target_word,model,em_orig,f1_orig,em_ambig,f1_ambig,cls_count_orig,cls_count_ambig
album,bert-base,85.0,85.0,80.0,80.0,0,0
album,bert-large,85.0,85.0,80.0,80.0,0,1
album,roberta-base,80.0,87.03030303030303,85.0,88.59649122807016,1,1
album,roberta-large,95.0,98.33333333333333,95.0,95.0,0,0
album,deberta-base,100.0,100.0,95.0,98.33333333333333,0,0
album,deberta-large,90.0,93.33333333333333,85.0,85.0,1,2
area,bert-base,70.0,86.01587301587301,55.0,69.65234968283748,1,2
area,bert-large,75.0,88.78571428571428,65.0,79.2124542124542,0,0
area,roberta-base,70.0,82.73015873015872,45.0,59.0,1,0
area,roberta-large,80.0,95.23015873015872,60.0,78.47802197802199,0,0
area,deberta-base,95.0,99.44444444444444,65.0,81.70238095238093,0,2
area,deberta-large,70.0,92.84920634920636,55.0,77.28571428571428,0,2
article,bert-base,80.0,88.66666666666667,70.0,77.83333333333334,0,2
article,bert-large,90.0,91.99999999999999,80.0,83.24999999999999,0,0
article,roberta-base,80.0,86.66666666666667,70.0,78.69047619047618,0,0
article,roberta-large,95.0,98.33333333333334,75.0,80.61111111111111,0,0
article,deberta-base,100.0,100.0,80.0,83.33333333333334,0,0
article,deberta-large,95.0,98.33333333333334,80.0,83.11111111111111,0,1
ball,bert-base,85.0,87.83333333333334,65.0,67.25974025974025,0,4
ball,bert-large,85.0,87.83333333333334,85.0,86.99999999999999,0,0
ball,roberta-base,95.0,95.0,75.0,75.48780487804878,0,0
ball,roberta-large,95.0,95.0,80.0,81.66666666666666,0,0
ball,deberta-base,100.0,100.0,85.0,86.33333333333333,0,1
ball,deberta-large,100.0,100.0,90.0,90.0,0,1
bank,bert-base,75.0,87.96969696969697,60.0,74.7878787878788,0,2
bank,bert-large,70.0,82.96969696969697,70.0,85.82683982683982,1,0
bank,roberta-base,75.0,88.58333333333334,75.0,83.90151515151516,0,0
bank,roberta-large,90.0,96.25,70.0,78.19444444444444,0,0
bank,deberta-base,100.0,100.0,95.0,98.33333333333333,0,0
bank,deberta-large,85.0,95.41666666666666,85.0,92.08333333333333,0,1
bar,bert-base,80.0,81.99999999999999,55.0,61.191838897721254,2,4
bar,bert-large,85.0,86.99999999999999,65.0,69.96703296703298,0,1
bar,roberta-base,85.0,85.70451436388507,65.0,65.31627906976743,0,0
bar,roberta-large,95.0,95.0,70.0,71.11111111111111,0,1
bar,deberta-base,95.0,95.0,75.0,77.2443438914027,1,1
bar,deberta-large,90.0,90.0,60.0,62.64957264957265,2,6
bass,bert-base,66.66666666666667,84.31420431420432,50.0,61.15181115181115,0,4
bass,bert-large,66.66666666666667,82.99145299145299,66.66666666666667,78.71794871794872,0,1
bass,roberta-base,77.77777777777777,89.62962962962962,50.0,62.592592592592595,1,2
bass,roberta-large,94.44444444444444,98.14814814814814,55.55555555555556,59.25925925925927,0,0
bass,deberta-base,94.44444444444444,98.14814814814814,66.66666666666667,74.2186088527552,0,1
bass,deberta-large,94.44444444444444,98.14814814814814,72.22222222222223,87.03703703703702,0,0
bill,bert-base,95.0,96.99999999999999,70.0,72.0,0,5
bill,bert-large,85.0,94.08333333333334,75.0,88.52777777777779,0,0
bill,roberta-base,85.0,97.19444444444444,70.0,82.19444444444444,0,0
bill,roberta-large,95.0,99.44444444444444,80.0,84.44444444444444,0,0
bill,deberta-base,100.0,100.0,80.0,80.0,0,1
bill,deberta-large,95.0,99.44444444444444,75.0,75.0,0,3
board,bert-base,90.0,96.19047619047618,80.0,83.33333333333333,0,3
board,bert-large,90.0,96.19047619047618,90.0,96.19047619047618,0,0
board,roberta-base,80.0,83.33333333333333,75.0,81.21308016877637,0,0
board,roberta-large,95.0,98.33333333333333,80.0,84.20289855072465,0,1
board,deberta-base,100.0,100.0,85.0,88.33333333333333,0,2
board,deberta-large,95.0,98.33333333333333,90.0,93.33333333333333,0,1
body,bert-base,80.0,81.99999999999999,70.0,73.33333333333333,2,3
body,bert-large,90.0,90.0,80.0,80.0,0,0
body,roberta-base,80.0,86.78571428571429,65.0,67.22222222222221,0,0
body,roberta-large,90.0,90.0,90.0,90.04032258064515,0,0
body,deberta-base,95.0,95.0,75.0,78.4040404040404,1,2
body,deberta-large,85.0,92.61904761904762,80.0,84.95362939183164,0,1
bowl,bert-base,100.0,100.0,65.0,68.3,0,3
bowl,bert-large,100.0,100.0,75.0,80.83333333333333,0,0
bowl,roberta-base,100.0,100.0,75.0,75.0,0,0
bowl,roberta-large,100.0,100.0,85.0,85.50000000000001,0,0
bowl,deberta-base,100.0,100.0,70.0,70.0,0,3
bowl,deberta-large,95.0,97.5,75.0,78.33333333333333,0,2
cabinet,bert-base,90.0,91.25,50.0,52.857142857142854,0,3
cabinet,bert-large,85.0,86.30434782608695,75.0,78.7948717948718,1,1
cabinet,roberta-base,75.0,79.44444444444444,50.0,53.42857142857143,0,0
cabinet,roberta-large,95.0,95.0,70.0,70.0,0,0
cabinet,deberta-base,95.0,95.0,75.0,79.15873015873015,0,0
cabinet,deberta-large,90.0,90.0,75.0,80.11764705882352,0,0
capital,bert-base,95.0,97.5,80.0,82.73255813953489,0,2
capital,bert-large,95.0,96.99999999999999,95.0,96.42857142857142,0,0
capital,roberta-base,90.0,90.0,90.0,92.5,2,1
capital,roberta-large,95.0,95.0,85.0,85.0,1,0
capital,deberta-base,100.0,100.0,80.0,83.33333333333333,0,2
capital,deberta-large,100.0,100.0,75.0,75.19607843137256,0,4
cell,bert-base,85.0,94.78571428571428,60.0,68.83333333333333,0,1
cell,bert-large,75.0,93.582848524025,60.0,77.3868778280543,0,0
cell,roberta-base,65.0,86.10010319917441,40.0,57.76676986584107,0,0
cell,roberta-large,90.0,97.44360902255639,60.0,72.71708683473389,0,1
cell,deberta-base,100.0,100.0,60.0,71.07142857142856,0,2
cell,deberta-large,85.0,96.73669467787116,45.0,59.46741854636591,0,3
chair,bert-base,90.0,96.70329670329672,70.0,81.57286192068803,0,2
chair,bert-large,90.0,96.70329670329672,70.0,90.19680319680319,0,0
chair,roberta-base,85.0,92.75,75.0,83.70307917888564,0,0
chair,roberta-large,100.0,100.0,70.0,82.97402597402598,0,0
chair,deberta-base,100.0,100.0,75.0,85.0,0,2
chair,deberta-large,100.0,100.0,75.0,85.33333333333334,0,2
change,bert-base,70.0,85.61383061383061,55.0,70.6138306138306,0,2
change,bert-large,70.0,83.73474564651033,55.0,73.98474564651035,0,0
change,roberta-base,60.0,75.97101449275362,55.0,70.80752242926157,1,0
change,roberta-large,90.0,92.30769230769229,85.0,88.55769230769229,0,0
change,deberta-base,90.0,96.85714285714286,70.0,77.25,0,3
change,deberta-large,85.0,93.50980392156863,70.0,79.75980392156862,0,1
club,bert-base,100.0,100.0,80.0,82.05,0,0
club,bert-large,100.0,100.0,85.0,87.85714285714285,0,0
club,roberta-base,95.0,98.33333333333334,65.0,70.35714285714286,0,1
club,roberta-large,100.0,100.0,65.0,69.52380952380953,0,0
club,deberta-base,100.0,100.0,80.0,82.16666666666666,0,1
club,deberta-large,95.0,98.33333333333334,75.0,77.85714285714286,0,2
company,bert-base,95.0,95.0,70.0,71.66666666666667,0,1
company,bert-large,95.0,95.0,80.0,81.66666666666667,0,0
company,roberta-base,95.0,95.0,75.0,76.66666666666667,0,0
company,roberta-large,100.0,100.0,75.0,76.66666666666667,0,0
company,deberta-base,100.0,100.0,65.0,66.66666666666666,0,4
company,deberta-large,100.0,100.0,75.0,76.66666666666666,0,2
court,bert-base,85.0,90.0,60.0,69.57575757575758,0,1
court,bert-large,80.0,90.33333333333334,65.0,76.52380952380953,0,0
court,roberta-base,85.0,93.33333333333334,60.0,73.69047619047618,0,0
court,roberta-large,90.0,95.0,50.0,62.857142857142854,0,0
court,deberta-base,100.0,100.0,65.0,68.33333333333333,0,3
court,deberta-large,90.0,95.0,60.0,71.19047619047618,0,1
date,bert-base,100.0,100.0,70.0,71.66666666666667,0,2
date,bert-large,100.0,100.0,65.0,71.66666666666667,0,1
date,roberta-base,95.0,98.75,65.0,70.41666666666667,0,1
date,roberta-large,100.0,100.0,65.0,66.66666666666667,0,0
date,deberta-base,100.0,100.0,60.0,61.885644768856444,0,4
date,deberta-large,100.0,100.0,50.0,51.66666666666667,0,7
energy,bert-base,70.0,80.36263736263736,55.0,67.66025641025641,0,2
energy,bert-large,65.0,79.49358974358975,55.0,67.66025641025641,0,1
energy,roberta-base,70.0,87.94227994227995,60.0,78.4978354978355,1,0
energy,roberta-large,80.0,87.87878787878788,50.0,66.01981351981352,0,0
energy,deberta-base,95.0,95.0,60.0,75.41098484848484,1,2
energy,deberta-large,80.0,93.27561327561327,45.0,62.77777777777777,0,4
fan,bert-base,85.0,85.20833333333334,65.0,67.0,0,4
fan,bert-large,85.0,88.33333333333334,85.0,88.33333333333334,0,0
fan,roberta-base,60.0,70.27777777777777,25.0,29.861111111111114,1,0
fan,roberta-large,90.0,94.0,60.0,65.66666666666666,0,1
fan,deberta-base,95.0,95.0,65.0,69.25974025974025,0,4
fan,deberta-large,85.0,92.33333333333334,60.0,64.52855543113102,0,3
file,bert-base,75.0,77.85714285714286,65.0,65.0,1,5
file,bert-large,75.0,76.66666666666667,60.0,63.33333333333333,1,1
file,roberta-base,75.0,82.08333333333333,45.0,51.66666666666667,0,0
file,roberta-large,85.0,92.33333333333334,55.0,61.666666666666664,0,0
file,deberta-base,90.0,90.625,45.0,48.875,0,7
file,deberta-large,90.0,93.33333333333333,50.0,55.0,0,6
form,bert-base,80.0,87.1794871794872,65.0,76.34615384615384,0,0
form,bert-large,80.0,87.84615384615385,75.0,86.17948717948717,0,0
form,roberta-base,75.0,88.67965367965368,50.0,66.72727272727272,1,0
form,roberta-large,85.0,96.46520146520146,55.0,73.7985347985348,0,0
form,deberta-base,95.0,98.84615384615384,75.0,78.84615384615384,0,3
form,deberta-large,85.0,96.46520146520146,50.0,61.17948717948718,0,3
law,bert-base,90.0,98.00000000000001,70.0,74.0,0,4
law,bert-large,95.0,99.0,90.0,94.0,0,0
law,roberta-base,95.0,99.0,70.0,74.0,0,0
law,roberta-large,100.0,100.0,55.0,67.8529411764706,0,0
law,deberta-base,100.0,100.0,65.0,66.96428571428571,0,5
law,deberta-large,95.0,99.0,60.0,64.0,0,7
leg,bert-base,100.0,100.0,88.88888888888889,88.88888888888889,0,1
leg,bert-large,88.88888888888889,98.41269841269842,77.77777777777777,91.74603174603175,0,0
leg,roberta-base,77.77777777777777,87.30158730158729,55.55555555555556,65.07936507936508,0,0
leg,roberta-large,88.88888888888889,98.41269841269842,44.44444444444444,55.275443510737624,0,0
leg,deberta-base,100.0,100.0,33.333333333333336,42.85714285714286,0,3
leg,deberta-large,88.88888888888889,98.41269841269842,33.333333333333336,46.031746031746025,0,2
letter,bert-base,70.0,88.55477855477855,45.0,64.0850815850816,0,2
letter,bert-large,70.0,85.41752365281778,50.0,65.35319752711057,0,0
letter,roberta-base,80.0,95.56776556776558,60.0,66.90705128205128,0,0
letter,roberta-large,90.0,94.61538461538461,55.0,60.90185676392573,1,0
letter,deberta-base,95.0,99.61538461538461,35.0,35.0,0,12
letter,deberta-large,90.0,97.94871794871796,45.0,52.61904761904761,0,7
line,bert-base,70.0,82.65082956259427,50.0,62.90293040293041,0,1
line,bert-large,75.0,86.47435897435898,50.0,67.53496503496503,0,1
line,roberta-base,75.0,86.37981987053195,65.0,78.1060606060606,0,0
line,roberta-large,95.0,97.5,60.0,71.90413752913751,0,0
line,deberta-base,100.0,100.0,80.0,82.72727272727273,0,2
line,deberta-large,90.0,97.04545454545455,70.0,86.91558441558442,0,1
march,bert-base,55.0,70.63636363636364,35.0,46.35064935064935,0,4
march,bert-large,55.0,72.92207792207793,50.0,65.63636363636364,0,0
march,roberta-base,95.0,98.00000000000001,50.0,53.0,0,0
march,roberta-large,100.0,100.0,40.0,40.294117647058826,0,0
march,deberta-base,100.0,100.0,55.0,57.0,0,8
march,deberta-large,100.0,100.0,40.0,40.0,0,12
match,bert-base,70.0,73.33333333333333,60.0,72.22222222222223,1,2
match,bert-large,80.0,83.00000000000001,65.0,77.83333333333334,0,0
match,roberta-base,70.0,80.97619047619048,50.0,63.30851063829787,0,0
match,roberta-large,100.0,100.0,60.0,67.21428571428571,0,0
match,deberta-base,90.0,97.00000000000001,70.0,81.54761904761905,0,0
match,deberta-large,100.0,100.0,70.0,77.79761904761904,0,2
movement,bert-base,80.0,85.33333333333334,45.0,53.857142857142854,0,3
movement,bert-large,80.0,83.33333333333333,70.0,70.0,0,0
movement,roberta-base,85.0,92.33333333333334,60.0,67.46666666666667,0,1
movement,roberta-large,90.0,93.33333333333333,65.0,67.74793388429752,0,0
movement,deberta-base,90.0,93.33333333333333,75.0,75.08547008547008,0,0
movement,deberta-large,90.0,93.33333333333333,70.0,73.46491228070175,0,2
organ,bert-base,80.0,86.99999999999999,55.0,63.034188034188034,0,1
organ,bert-large,75.0,85.33333333333334,65.0,75.33333333333334,0,0
organ,roberta-base,100.0,100.0,75.0,82.83333333333334,0,1
organ,roberta-large,95.0,98.33333333333333,60.0,67.00980392156863,0,2
organ,deberta-base,100.0,100.0,80.0,80.47619047619047,0,2
organ,deberta-large,100.0,100.0,70.0,73.33333333333334,0,3
part,bert-base,60.0,81.00000000000001,30.0,55.68805704099822,0,1
part,bert-large,70.0,85.42857142857144,35.0,59.58624708624709,0,1
part,roberta-base,75.0,85.95238095238095,45.0,62.44047619047618,0,3
part,roberta-large,90.0,91.42857142857142,45.0,53.08441558441558,1,0
part,deberta-base,100.0,100.0,60.0,72.56060606060606,0,4
part,deberta-large,90.0,95.0,40.0,52.639194139194146,0,5
period,bert-base,75.0,84.84126984126985,60.0,83.13492063492063,0,0
period,bert-large,75.0,88.01587301587303,60.0,79.2063492063492,0,0
period,roberta-base,70.0,91.68253968253967,45.0,77.84920634920634,0,0
period,roberta-large,85.0,98.01587301587303,60.0,75.23809523809524,0,0
period,deberta-base,95.0,99.28571428571429,75.0,85.11904761904762,0,1
period,deberta-large,85.0,98.01587301587303,60.0,79.80706075533661,0,1
place,bert-base,85.0,88.02631578947367,50.0,59.833333333333336,0,0
place,bert-large,90.0,92.5,45.0,57.5,0,1
place,roberta-base,80.0,86.60714285714285,40.0,51.11694677871149,0,0
place,roberta-large,95.0,95.24390243902438,60.0,63.33333333333333,0,0
place,deberta-base,100.0,100.0,50.0,55.71428571428571,0,2
place,deberta-large,100.0,100.0,55.0,63.69047619047618,0,3
plant,bert-base,80.0,92.71014492753623,70.0,82.71014492753623,0,1
plant,bert-large,70.0,89.5672877846791,70.0,88.29456051195181,0,0
plant,roberta-base,80.0,92.76190476190474,70.0,84.28571428571429,0,1
plant,roberta-large,80.0,95.3015873015873,70.0,86.3015873015873,0,0
plant,deberta-base,95.0,99.0,95.0,99.0,0,0
plant,deberta-large,80.0,95.3015873015873,70.0,86.3015873015873,0,1
port,bert-base,95.0,95.0,70.0,76.66666666666666,0,0
port,bert-large,80.0,90.66666666666666,40.0,64.10526315789474,0,1
port,roberta-base,80.0,91.66666666666666,45.0,62.83333333333333,0,0
port,roberta-large,95.0,98.33333333333333,40.0,56.60526315789474,0,0
port,deberta-base,95.0,99.0,45.0,61.666666666666664,0,3
port,deberta-large,90.0,96.66666666666667,50.0,65.83333333333333,0,3
post,bert-base,85.0,91.66666666666667,55.0,66.03492063492064,0,3
post,bert-large,80.0,91.11111111111111,65.0,77.3015873015873,0,1
post,roberta-base,90.0,93.33333333333334,55.0,63.69047619047618,0,1
post,roberta-large,100.0,100.0,50.0,64.28571428571429,0,0
post,deberta-base,95.0,98.33333333333334,45.0,55.730158730158735,0,6
post,deberta-large,90.0,97.77777777777779,50.0,60.634920634920626,0,7
power,bert-base,90.0,93.33333333333334,55.0,68.39669700033704,1,2
power,bert-large,75.0,91.2892156862745,70.0,78.99247491638796,0,0
power,roberta-base,75.0,86.8340874811463,65.0,71.43648018648018,0,2
power,roberta-large,80.0,88.03921568627452,50.0,57.08333333333333,1,0
power,deberta-base,100.0,100.0,35.0,41.666666666666664,0,11
power,deberta-large,80.0,92.65460030165912,45.0,51.666666666666664,0,9
process,bert-base,100.0,100.0,65.0,66.42857142857142,0,4
process,bert-large,100.0,100.0,90.0,90.0,0,0
process,roberta-base,90.0,96.66666666666666,75.0,76.42857142857143,0,0
process,roberta-large,100.0,100.0,80.0,80.0,0,0
process,deberta-base,100.0,100.0,80.0,84.76190476190476,0,1
process,deberta-large,100.0,100.0,90.0,90.0,0,1
program,bert-base,75.0,80.20833333333333,55.0,61.93055555555556,0,2
program,bert-large,75.0,81.59340659340661,55.0,67.98229548229548,0,0
program,roberta-base,75.0,82.61904761904762,50.0,65.45238095238096,0,1
program,roberta-large,85.0,90.35714285714285,60.0,75.0,0,0
program,deberta-base,85.0,91.94444444444444,60.0,71.97777777777777,0,1
program,deberta-large,85.0,90.35714285714285,50.0,70.57142857142858,0,0
race,bert-base,80.0,82.85714285714285,55.0,63.96825396825396,0,0
race,bert-large,75.0,81.19047619047618,65.0,74.94047619047618,0,0
race,roberta-base,90.0,97.33333333333334,70.0,74.99149659863944,0,0
race,roberta-large,95.0,98.33333333333333,65.0,68.33333333333333,0,0
race,deberta-base,95.0,98.33333333333333,65.0,73.63683418031243,0,0
race,deberta-large,85.0,92.75,70.0,73.33333333333333,0,1
record,bert-base,75.0,84.71428571428571,50.0,59.28571428571429,1,0
record,bert-large,75.0,87.21428571428571,55.0,67.35714285714286,0,0
record,roberta-base,100.0,100.0,45.0,61.66666666666667,0,0
record,roberta-large,100.0,100.0,65.0,70.85714285714286,0,1
record,deberta-base,100.0,100.0,60.0,66.06060606060605,0,2
record,deberta-large,100.0,100.0,65.0,70.33333333333334,0,3
result,bert-base,65.0,69.85714285714286,50.0,61.2925407925408,0,1
result,bert-large,65.0,69.85714285714286,40.0,53.39047619047619,0,2
result,roberta-base,90.0,95.83333333333333,65.0,76.34615384615384,0,0
result,roberta-large,95.0,97.5,60.0,62.0,0,1
result,deberta-base,100.0,100.0,70.0,76.69298245614036,0,2
result,deberta-large,85.0,94.16666666666666,65.0,75.63768115942028,0,2
ring,bert-base,80.0,83.07692307692307,60.0,67.33333333333333,0,1
ring,bert-large,70.0,78.08333333333333,55.0,69.85227272727272,0,0
ring,roberta-base,85.0,93.82692307692307,55.0,71.09802102659246,0,1
ring,roberta-large,90.0,94.375,60.0,69.64126966561537,0,1
ring,deberta-base,100.0,100.0,70.0,79.99999999999999,0,2
ring,deberta-large,95.0,98.33333333333333,55.0,65.66666666666666,0,4
rock,bert-base,95.0,95.0,55.0,59.532467532467535,0,3
rock,bert-large,95.0,95.0,65.0,65.0,0,1
rock,roberta-base,100.0,100.0,60.0,64.17948717948718,0,0
rock,roberta-large,100.0,100.0,45.0,52.22222222222223,0,0
rock,deberta-base,100.0,100.0,65.0,65.0,0,3
rock,deberta-large,95.0,98.33333333333333,60.0,61.66666666666667,0,5
scale,bert-base,90.0,90.0,60.0,72.56535947712419,0,0
scale,bert-large,90.0,90.0,65.0,73.83333333333334,0,0
scale,roberta-base,80.0,86.66666666666666,60.0,71.92307692307692,0,0
scale,roberta-large,95.0,98.33333333333333,60.0,67.0,0,0
scale,deberta-base,100.0,100.0,80.0,81.66666666666667,0,0
scale,deberta-large,95.0,95.0,65.0,66.66666666666667,0,4
season,bert-base,73.6842105263158,84.35406698564593,42.10526315789474,59.94303941672363,0,0
season,bert-large,78.94736842105263,89.61722488038278,47.36842105263158,60.71207430340557,0,0
season,roberta-base,89.47368421052632,92.10526315789474,63.1578947368421,72.45614035087719,0,0
season,roberta-large,100.0,100.0,68.42105263157895,71.05263157894737,0,1
season,deberta-base,100.0,100.0,63.1578947368421,76.84210526315789,0,1
season,deberta-large,89.47368421052632,95.6140350877193,42.10526315789474,62.30576441102756,0,2
second,bert-base,85.0,96.75824175824175,65.0,69.61538461538461,0,4
second,bert-large,80.0,95.25030525030525,70.0,86.9169719169719,0,0
second,roberta-base,85.0,92.94871794871796,70.0,77.94871794871794,0,0
second,roberta-large,90.0,99.05982905982907,55.0,62.77777777777777,0,0
second,deberta-base,100.0,100.0,80.0,83.69047619047618,0,2
second,deberta-large,90.0,99.05982905982907,65.0,74.05982905982907,0,5
sentence,bert-base,70.0,72.85714285714286,35.0,38.57142857142857,0,8
sentence,bert-large,70.0,73.33333333333333,50.0,57.65151515151515,0,0
sentence,roberta-base,65.0,79.92965367965368,40.0,53.35625159154571,0,1
sentence,roberta-large,95.0,98.63636363636364,60.0,65.3030303030303,0,0
sentence,deberta-base,100.0,100.0,65.0,68.33333333333333,0,5
sentence,deberta-large,80.0,88.86904761904762,55.0,58.134920634920626,0,5
service,bert-base,85.0,85.0,75.0,79.28571428571429,1,1
service,bert-large,80.0,84.0,65.0,70.66666666666667,0,0
service,roberta-base,95.0,99.0,80.0,87.33333333333334,0,0
service,roberta-large,95.0,97.5,85.0,92.33333333333334,0,0
service,deberta-base,95.0,95.0,90.0,93.33333333333333,0,0
service,deberta-large,90.0,94.0,85.0,92.33333333333334,0,0
speaker,bert-base,85.0,90.15151515151516,45.0,51.81818181818181,0,5
speaker,bert-large,75.0,87.65151515151516,70.0,76.00980392156862,0,1
speaker,roberta-base,50.0,63.8252820780193,35.0,49.84126984126984,0,0
speaker,roberta-large,90.0,95.56818181818181,70.0,77.86213786213787,0,0
speaker,deberta-base,100.0,100.0,80.0,81.66666666666666,0,2
speaker,deberta-large,90.0,95.56818181818181,70.0,79.40058479532163,0,1
spring,bert-base,95.0,95.0,85.0,85.0,1,2
spring,bert-large,85.0,91.19047619047618,80.0,83.33333333333333,0,0
spring,roberta-base,75.0,81.19047619047618,65.0,71.66666666666666,0,1
spring,roberta-large,90.0,96.19047619047618,75.0,78.33333333333333,0,0
spring,deberta-base,100.0,100.0,70.0,70.0,0,4
spring,deberta-large,90.0,96.19047619047618,75.0,78.33333333333333,0,3
star,bert-base,100.0,100.0,65.0,71.66666666666666,0,0
star,bert-large,100.0,100.0,65.0,71.66666666666666,0,1
star,roberta-base,90.0,93.33333333333334,65.0,75.34429824561404,1,0
star,roberta-large,100.0,100.0,65.0,68.95833333333333,0,0
star,deberta-base,100.0,100.0,60.0,66.66666666666666,0,0
star,deberta-large,100.0,100.0,60.0,64.4379645511721,0,2
state,bert-base,85.0,93.76190476190477,70.0,80.76190476190476,0,1
state,bert-large,80.0,92.09523809523809,65.0,84.45238095238096,0,0
state,roberta-base,85.0,95.66666666666666,65.0,77.4981684981685,0,0
state,roberta-large,90.0,97.33333333333334,60.0,75.1904761904762,0,1
state,deberta-base,95.0,98.33333333333333,70.0,81.83150183150182,0,1
state,deberta-large,90.0,97.33333333333334,65.0,80.83150183150185,0,1
station,bert-base,90.0,90.28169014084509,80.0,80.0,0,2
station,bert-large,90.0,93.33333333333334,75.0,81.99999999999999,0,0
station,roberta-base,85.0,90.83333333333334,75.0,81.99999999999999,0,0
station,roberta-large,100.0,100.0,75.0,79.14285714285714,0,0
station,deberta-base,100.0,100.0,70.0,74.86666666666667,0,3
station,deberta-large,95.0,95.28169014084509,85.0,86.99999999999999,0,2
study,bert-base,100.0,100.0,95.0,95.0,0,1
study,bert-large,100.0,100.0,90.0,93.16666666666666,0,0
study,roberta-base,100.0,100.0,85.0,88.16666666666666,0,0
study,roberta-large,100.0,100.0,70.0,70.0,0,0
study,deberta-base,100.0,100.0,70.0,72.5,0,4
study,deberta-large,95.0,98.33333333333334,80.0,80.0,0,3
table,bert-base,95.0,95.0,70.0,73.33333333333333,1,5
table,bert-large,95.0,95.0,70.0,81.62393162393161,0,1
table,roberta-base,75.0,82.87878787878789,45.0,53.69557060119096,0,0
table,roberta-large,95.0,95.0,40.0,45.833333333333336,0,1
table,deberta-base,95.0,95.0,55.0,62.92857142857142,1,5
table,deberta-large,90.0,92.94117647058822,35.0,45.15873015873016,0,7
term,bert-base,90.0,91.99999999999999,60.0,60.958188153310104,0,0
term,bert-large,90.0,90.0,70.0,76.04761904761905,0,0
term,roberta-base,85.0,89.05591397849463,50.0,54.37019969278033,0,1
term,roberta-large,100.0,100.0,60.0,60.71428571428571,0,1
term,deberta-base,100.0,100.0,65.0,65.91836734693878,0,1
term,deberta-large,95.0,98.33333333333333,60.0,64.04761904761904,0,2
title,bert-base,85.0,94.04545454545453,65.0,80.14429175475688,0,0
title,bert-large,80.0,88.04545454545455,70.0,78.9621212121212,0,0
title,roberta-base,90.0,98.29545454545453,85.0,89.54545454545453,0,0
title,roberta-large,95.0,99.54545454545453,70.0,74.87878787878789,0,0
title,deberta-base,90.0,98.29545454545453,65.0,73.29545454545453,0,3
title,deberta-large,85.0,93.29545454545453,65.0,69.54545454545455,1,4
track,bert-base,70.0,78.90303657694963,50.0,59.69047619047619,0,5
track,bert-large,75.0,82.35714285714286,70.0,79.85714285714286,1,1
track,roberta-base,90.0,93.33333333333333,80.0,80.0,0,0
track,roberta-large,100.0,100.0,85.0,85.0,0,0
track,deberta-base,100.0,100.0,70.0,75.3913043478261,0,3
track,deberta-large,95.0,98.33333333333333,80.0,80.95238095238095,0,3
volume,bert-base,84.21052631578948,95.43859649122807,57.89473684210526,77.36842105263158,0,2
volume,bert-large,73.6842105263158,91.9298245614035,57.89473684210526,83.1578947368421,0,0
volume,roberta-base,78.94736842105263,91.81286549707602,57.89473684210526,73.09941520467835,0,0
volume,roberta-large,94.73684210526316,98.24561403508771,57.89473684210526,68.78297141455036,0,1
volume,deberta-base,100.0,100.0,63.1578947368421,67.46277458351761,0,5
volume,deberta-large,89.47368421052632,96.49122807017544,47.36842105263158,64.9122807017544,0,5
way,bert-base,90.0,90.0,50.0,59.1875,1,3
way,bert-large,65.0,87.65277777777777,50.0,63.640522875817,0,1
way,roberta-base,65.0,88.18253968253967,45.0,63.41414141414142,0,0
way,roberta-large,85.0,92.52380952380952,55.0,63.19047619047619,0,1
way,deberta-base,90.0,94.66666666666666,75.0,75.55555555555556,0,1
way,deberta-large,85.0,94.04166666666666,65.0,71.9103803997421,0,1
work,bert-base,75.0,86.16666666666667,55.0,64.03703703703704,0,2
work,bert-large,70.0,81.99999999999999,65.0,73.5,1,2
work,roberta-base,85.0,86.99999999999999,75.0,79.5,0,0
work,roberta-large,100.0,100.0,90.0,95.83333333333333,0,0
work,deberta-base,100.0,100.0,75.0,75.1025641025641,0,2
work,deberta-large,100.0,100.0,85.0,87.5,0,1
